U,V,W,U_x,U_y,U_z,V_x,V_y,V_z,W_x,W_y,W_Z,UU,UV,UW,VV,VW,WW
1.324390292,-0.0001388666278,0.0004125989508,0.0,-0.08298606426,0.200323984,0.0,0.002941998886,-0.002648605267,0.0,0.002541428665,-0.0006490585511,0.003757307306,-0.0004730681831,7.405954238e-05,0.002138188109,1.858935502e-05,0.002218140755
1.328095436,-0.0001787194778,0.0004217278038,0.0,-0.08440015465,0.1129667982,0.0,0.0034025528,-0.0008882576949,0.0,0.0009420738788,0.00112692453,0.00354696461,-0.0002791711595,7.381854084e-05,0.00210712594,1.261482885e-05,0.002148746746
1.329773307,-0.0001811932598,0.0004662983702,0.0,-0.08452737331,0.06886962801,0.0,0.00462095812,-0.0001015384769,0.0,-0.00127260061,0.001829436631,0.003428332508,-7.910377462e-05,7.03001424e-05,0.002097736346,3.275239123e-06,0.002121925121
0.03759816289,9.684313227e-07,5.901883924e-06,0.0,-0.01374348346,24.95213127,0.0,1.562790931e-05,0.002021949505,0.0,-0.001283195452,0.009616251104,0.0002262919443,-1.00838713e-06,2.131654355e-06,6.476916781e-08,2.684613953e-08,5.516340389e-05
0.1139014438,7.151525551e-06,3.530825052e-05,0.0,-0.04031646997,24.70175171,0.0,0.0001079432914,0.002945297165,0.0,-0.003877209034,0.01318522543,0.001821296988,-2.018468149e-05,1.413378868e-05,2.190402711e-06,4.356326428e-07,0.000360589911
0.1921819896,1.940013317e-05,8.841516683e-05,0.0,-0.06496354192,24.01790619,0.0,0.0002377031342,0.005747349001,0.0,-0.00650963746,0.01542814448,0.005146574229,-9.754730854e-05,3.38041682e-05,1.336083369e-05,1.722817274e-06,0.0008223430486
0.2711467743,4.477944094e-05,0.0001363163756,0.0,-0.09723360091,22.97821426,0.0,0.0006736813812,0.008765348233,0.0,-0.009893219918,0.01615399309,0.009819957428,-0.0002557977859,6.332668272e-05,3.994537838e-05,4.202846412e-06,0.001331961015
0.3495595753,7.94339212e-05,0.000199053713,0.0,-0.1180527583,21.59021759,0.0,0.001003433485,0.01090624183,0.0,-0.01238777023,0.01986802183,0.01536427066,-0.0005061604897,9.410396888e-05,8.779558266e-05,7.820157407e-06,0.001849645167
0.4258410037,0.0001229228219,0.0002786710393,0.0,-0.1450998932,19.87652779,0.0,0.001792798983,0.01466099266,0.0,-0.0161953792,0.01661076397,0.02108594589,-0.0008365498506,0.0001234602969,0.0001607240702,1.214085569e-05,0.002356279874
0.4985338748,0.000189317856,0.000323551154,0.0,-0.1628488302,17.86218071,0.0,0.002445695223,0.01873252727,0.0,-0.01945315301,0.01157942135,0.02637454681,-0.00121945783,0.0001526026172,0.0002595935657,1.836208139e-05,0.002841753885
0.5659162998,0.0002698233875,0.0003694769111,0.0,-0.1771316677,15.5666647,0.0,0.003453265643,0.02183965407,0.0,-0.02302545123,0.009166383184,0.03063278459,-0.001627390622,0.0001751849049,0.0003888836654,2.549697092e-05,0.003305150429
0.6262429953,0.0003684906696,0.0003987522796,0.0,-0.1862991452,13.44655323,0.0,0.004848808981,0.02703996934,0.0,-0.02685645968,-0.0009494562983,0.03346407413,-0.002017405583,0.0001928042184,0.0005496558151,3.345569712e-05,0.003737126943
0.6813009381,0.00050185289,0.0003613296431,0.0,-0.1890772879,11.72988033,0.0,0.006029175594,0.02978383005,0.0,-0.02928136848,-0.007116151508,0.03528425097,-0.002380188787,0.0002095242962,0.0007337448187,4.322889436e-05,0.004140618257
0.7315539718,0.0006358901737,0.0003348634054,0.0,-0.1890059859,10.10425282,0.0,0.007926386781,0.03131773323,0.0,-0.03239566088,-0.01016184688,0.03613222763,-0.00270661735,0.0002246111544,0.0009407658945,5.089538172e-05,0.004515127745
0.7762102485,0.0007960205548,0.0002658793528,0.0,-0.1852797121,8.446461678,0.0,0.009786882438,0.0352431871,0.0,-0.0345408991,-0.01773731783,0.03608063608,-0.0029872288,0.0002376992197,0.001168656279,5.774408783e-05,0.00485084625
0.8145403862,0.0009821541607,0.0001605944126,0.0,-0.1786677092,7.138054848,0.0,0.01170753688,0.03714299574,0.0,-0.03575316072,-0.02118946239,0.03528665006,-0.003209499875,0.0002455704962,0.001411661156,6.167729589e-05,0.00513240369
0.8495823145,0.001177813392,4.807287769e-05,0.0,-0.1681355536,6.219335556,0.0,0.01457252912,0.03623520955,0.0,-0.03701538593,-0.02186399139,0.03413124755,-0.003396817949,0.0002505995508,0.001663014176,6.27643094e-05,0.005377907772
0.8814230561,0.001371827209,-7.453071885e-05,0.0,-0.1578635722,5.292586803,0.0,0.01686740667,0.03591175377,0.0,-0.03747747838,-0.02170165442,0.03267788142,-0.003549841465,0.0002550584613,0.001920562238,6.140589539e-05,0.005587426946
0.9091186523,0.00158178492,-0.0001960491645,0.0,-0.1454151124,4.474851131,0.0,0.01941121556,0.0380220525,0.0,-0.03755201772,-0.01979546435,0.03103198111,-0.003660288407,0.0002575840626,0.002175053116,5.908374078e-05,0.005754041485
0.9340831637,0.001819271245,-0.000307484006,0.0,-0.1335107684,3.893895864,0.0,0.02175579593,0.0376178883,0.0,-0.03748337924,-0.017524397,0.02935097739,-0.003741287161,0.000255153398,0.002419582335,5.700780457e-05,0.005891270936
0.9570602775,0.002044936176,-0.0004118094512,0.0,-0.125805527,3.436971903,0.0,0.02330737747,0.03664620221,0.0,-0.03740018979,-0.01502661314,0.02764173038,-0.003798697842,0.0002518247929,0.002656480996,5.663866978e-05,0.006008605938
0.9783513546,0.002291274257,-0.0005010267487,0.0,-0.1146504432,2.971046925,0.0,0.02525743656,0.036194399,0.0,-0.03672982007,-0.01121058129,0.02595000714,-0.003836117685,0.0002450970933,0.002880521119,5.745522139e-05,0.006102385931
0.9970921278,0.002532619052,-0.0005628606887,0.0,-0.1075656265,2.585716724,0.0,0.02637159452,0.0350183025,0.0,-0.03543559462,-0.005446837749,0.02435987256,-0.003847222542,0.0002333918819,0.003075957298,6.006457988e-05,0.006158411503
1.014799595,0.002784891985,-0.000577805331,0.0,-0.0994451046,2.330909491,0.0,0.02714044228,0.03321448714,0.0,-0.03291037679,-0.00234318641,0.02283873409,-0.003845171304,0.000221625276,0.003249200992,6.084698543e-05,0.006191893946
1.031463742,0.003022400197,-0.0005974133383,0.0,-0.09498957545,2.108646154,0.0,0.02732510865,0.03013269231,0.0,-0.03003736585,0.0002377433266,0.0213951245,-0.003827764187,0.0002082713327,0.003399759298,5.995670654e-05,0.006201894488
1.047329664,0.003249748843,-0.0005741376663,0.0,-0.09132708609,1.902207613,0.0,0.02710252255,0.02670214884,0.0,-0.02706108242,0.003854083363,0.02002746798,-0.003797184443,0.0001961309026,0.003525420325,5.688374586e-05,0.006192296278
1.062163472,0.003453346202,-0.0005352122826,0.0,-0.0878797397,1.72557807,0.0,0.02619681321,0.02292074449,0.0,-0.02317273431,0.005014321767,0.01878591441,-0.003751839278,0.0001894794113,0.003615116468,5.278861136e-05,0.006156855263
1.076462626,0.003636720125,-0.0004894807935,0.0,-0.08327661455,1.600878716,0.0,0.02460431866,0.01785432361,0.0,-0.01756043173,0.009222280234,0.017634416,-0.003698723391,0.0001847110252,0.003677411703,5.075780064e-05,0.00610105833
1.090439796,0.00376870716,-0.000372319133,0.0,-0.07961662859,1.494747758,0.0,0.02293035015,0.01270073187,0.0,-0.01304994058,0.01223311294,0.0165407639,-0.00363224023,0.0001803570922,0.003714347724,4.821694529e-05,0.006022960879
1.104082584,0.003871404333,-0.0002634372504,0.0,-0.07536122948,1.396296978,0.0,0.02104890905,0.008980207145,0.0,-0.007198588923,0.009670090862,0.01552380249,-0.003559245029,0.000174685847,0.003728299169,4.904442903e-05,0.005925323814
1.11743021,0.003942294512,-0.0001853963186,0.0,-0.07085566968,1.309122443,0.0,0.01910239458,0.003635728965,0.0,-0.002404817613,0.007772075944,0.01457921695,-0.003474597586,0.0001709904609,0.003719277214,5.044603677e-05,0.005804079585
1.13055563,0.003944925964,-0.0001062704978,0.0,-0.06562460959,1.233065248,0.0,0.01627253182,-0.002263151342,0.0,0.003112279112,0.007295554038,0.01369599905,-0.003376175184,0.0001681644062,0.003686323529,5.15841275e-05,0.005651752464
1.143515706,0.003894417547,-3.105887663e-05,0.0,-0.06080884114,1.171059012,0.0,0.01286487374,-0.00767310895,0.0,0.007628595456,0.008664981462,0.01287835091,-0.003265322885,0.0001662086142,0.00363262184,5.321796925e-05,0.005474240985
1.156473517,0.003775104648,8.550294297e-05,0.0,-0.05617569014,1.118310809,0.0,0.009373520501,-0.01148700528,0.0,0.01133433543,0.009755441919,0.01210188493,-0.003145878436,0.0001639565162,0.00356515334,5.598653297e-05,0.005284643732
1.169407964,0.003628458828,0.0001948089484,0.0,-0.05211793259,1.067425251,0.0,0.006085592322,-0.01366102695,0.0,0.01448196825,0.007708414458,0.01137037575,-0.00301689608,0.0001596844522,0.003483534558,5.838417565e-05,0.005084849894
1.182327628,0.003444220871,0.0002722084755,0.0,-0.04727964103,1.020596623,0.0,0.002583230846,-0.01804023981,0.0,0.01892126352,0.005955960602,0.01067675091,-0.002880151616,0.0001531939779,0.003388762008,5.910130494e-05,0.004871373996
